product name,color,description,url,time,price,currency,size,region,category
Barocco Rodeo Motif Sweater,black,Soft silk blend sweater with a crew neck and long sleeves. The knit casual piece is embellished with a silk insert in the Barocco Rodeo prin,https://www.versace.com/us/en-us/women/clothing/knitwear/barocco-rodeo-motif-sweater-a1008/A85514-A233111_A1008.html?cgid=120400,2020-04-05 19:43:23.145360,"$1,175",USD,"36,38,40,42,44",us,"women,clothing,knitwear"
Knit Crop Top,"orange,black",Ribbed knit crop top with a round neck and backline.,https://www.versace.com/us/en-us/women/clothing/knitwear/knit-crop-top-a1008/A85428-A233108_A1008.html?cgid=120400,2020-04-05 19:43:23.158354,$475,USD,"36,38,40,42",us,"women,clothing,knitwear"
Medusa Button Knit Dress,black,"This light, ribbed knit dress features a v-neck, long sleeves and button-up closure enriched with heritage Medusa buttons.",https://www.versace.com/us/en-us/women/clothing/knitwear/medusa-button-knit-dress-a1008/A85084-A233108_A1008.html?cgid=120400,2020-04-05 19:43:23.175882,"$1,550",USD,"36,38,40,42,44,46",us,"women,clothing,knitwear"
GV Signature Jacquard Lamé Cardigan,Black,Soft cardigan crafted from soft wool jacquard in an all-over pattern featuring Gianni Versace's autograph. This crew neck cardigan is enrich,https://www.versace.com/us/en-us/women/clothing/knitwear/gv-signature-jacquard-lame-cardigan-a2003/A85966-A233220_A2003.html?cgid=120400,2020-04-05 19:43:23.230435,$975,USD,"38,40,42,44",us,"women,clothing,knitwear"
GV Signature Jacquard Lamé Cardigan,Black,Soft cardigan crafted from soft wool jacquard in an all-over pattern featuring Gianni Versace's autograph. This v-neck cardigan is enriched,https://www.versace.com/us/en-us/women/clothing/knitwear/gv-signature-jacquard-lame-cardigan-a2003/A85553-A233220_A2003.html?cgid=120400,2020-04-05 19:43:23.320248,"$1,425",USD,"36,38,40,42,44",us,"women,clothing,knitwear"
GV Signature Jacquard Lamé Sweater,Black,Short sleeve sweater crafted from soft wool jacquard in an all-over pattern featuring Gianni Versace's autograph. This crew neck knit style,https://www.versace.com/us/en-us/women/clothing/knitwear/gv-signature-jacquard-lame-sweater-a2003/A85709-A233220_A2003.html?cgid=120400,2020-04-05 19:43:23.335638,$625,USD,"38,40,42,44",us,"women,clothing,knitwear"
GV Signature Jacquard Cardigan,black,Soft cardigan crafted from wool jacquard in an all-over pattern featuring Gianni Versace's signature. This v-neck cardigan features f,https://www.versace.com/us/en-us/women/clothing/knitwear/gv-signature-jacquard-cardigan-a2024/A85553-A233115_A2024.html?cgid=120400,2020-04-05 19:43:23.348890,"$1,125",USD,"38,40,42,44",us,"women,clothing,knitwear"
Tie-Dye Cashmere Blend Sweater,Green/Black,Oversized sweater crafted from an exceptionaly soft cotton and cashmere blend. The casual knit features a tie-dye motif inspired by colors o,https://www.versace.com/us/en-us/women/clothing/knitwear/tie-dye-cashmere-blend-sweater-a2036/A85042-A233161_A2036.html?cgid=120400,2020-04-05 19:43:23.489243,"$1,225",USD,"36,38,40,42,44",us,"women,clothing,knitwear"
Tie-Dye Silk Sweater,Green/Black,"Crafted from pure silk, this ribbed knit sweater features a tie-dye motif inspired by colors of the desert flora.",https://www.versace.com/us/en-us/women/clothing/knitwear/tie-dye-silk-sweater-a2036/A84977-A233119_A2036.html?cgid=120400,2020-04-05 19:43:23.514848,"$1,325",USD,"38,40,42,44",us,"women,clothing,knitwear"
V-Neck Silk Sweater,black,"Crafted from pure silk jersey, this light, V-neck sweater complements an array of casual and elegant looks.",https://www.versace.com/us/en-us/women/clothing/knitwear/v-neck-silk-sweater-a1008/A86339-A234673_A1008.html?cgid=120400,2020-04-05 19:43:23.532862,$975,USD,"38,40,42,44",us,"women,clothing,knitwear"
Seven Vessels Print Shirt,print,"A statement piece, this slim fit viscose organza shirts boasts a reinterpretation of a painting created by friend of the House Andy Dixon, w",https://www.versace.com/us/en-us/women/clothing/blouses-tops/seven-vessels-print-shirt-a7930/A85963-A233928_A7930.html?cgid=120200,2020-04-05 19:43:23.546924,$850,USD,36,us,"women,clothing,blouses-tops"
Tie-Dye Print Tank Top,green,"Crafted in pure organic cotton in the Tie-Dye print, this tank top is embellished with a printed signature of Gianni Versace. The colorful p",https://www.versace.com/us/en-us/women/clothing/blouses-tops/tie-dye-print-tank-top-a7525/A86463-A234568_A7525.html?cgid=120200,2020-04-05 19:43:23.690206,$350,USD,"36,38,40,42,44,46",us,"women,clothing,blouses-tops"
Jungle Print Bralette Top,print,This bralette top is made from twill in the Jungle print and embellished with Chantilly lace straps. The design features a central Baroque l,https://www.versace.com/us/en-us/women/clothing/blouses-tops/jungle-print-bralette-top-a7010/A78760-A234748_A7010.html?cgid=120200,2020-04-05 19:43:23.704270,$650,USD,"38,40,42,44",us,"women,clothing,blouses-tops"
Jungle Print Crêpe Bodysuit,print,"Easily paired with a pair of jeans or a pencil skirt, this crêpe organza bodysuit features a lightly draped, deep-V neckline. Famously repri",https://www.versace.com/us/en-us/women/clothing/blouses-tops/jungle-print-cr%C3%AApe-bodysuit-a7488/A86327-A234702_A7488.html?cgid=120200,2020-04-05 19:43:23.717797,$725,USD,"36,38,40,42,44",us,"women,clothing,blouses-tops"
Jungle Print Silk Bralette Top,print,This bralette top is made from the finest quality silk twill in the Jungle print and embellished with Chantilly lace straps. Famously repris,https://www.versace.com/us/en-us/women/clothing/blouses-tops/jungle-print-silk-bralette-top-a7488/A78760-A234699_A7488.html?cgid=120200,2020-04-05 19:43:23.729977,$775,USD,"36,38,40,42,44",us,"women,clothing,blouses-tops"
Jungle Print Silk Muslin Shirt,print,"Crafted from delicate silk muslin, this button up shirt is an elegant office to happy hour piece. The style features the Jungle print, famou",https://www.versace.com/us/en-us/women/clothing/blouses-tops/jungle-print-silk-muslin-shirt-a7488/A82662-A234695_A7488.html?cgid=120200,2020-04-05 19:43:23.743849,"$1,125",USD,"38,40,42,44",us,"women,clothing,blouses-tops"
V-Pattern Lace Top,"black,pink","Stylish, yet understated, this short sleeved top is crafted from delicate V-pattern lace.",https://www.versace.com/us/en-us/women/clothing/blouses-tops/v-pattern-lace-top-a1008/A85558-A233113_A1008.html?cgid=120200,2020-04-05 19:43:23.758347,$650,USD,"38,40,42,44",us,"women,clothing,blouses-tops"
Jungle Print Crêpe de Chine Silk Shirt,print,"Crafted from delicate silk Crêpe de Chine, this button up shirt is an elegant office to happy hour piece. The style features the Jungle prin",https://www.versace.com/us/en-us/women/clothing/blouses-tops/jungle-print-cr%C3%AApe-de-chine-silk-shirt-a7010/A82662-A234699_A7010.html?cgid=120200,2020-04-05 19:43:23.771731,"$1,125",USD,"38,40,42,44",us,"women,clothing,blouses-tops"
V-Pattern Lace Top,"black,pink","Stylish, yet understated, this short sleeved top is crafted from delicate V-pattern lace.",https://www.versace.com/us/en-us/women/clothing/blouses-tops/v-pattern-lace-top-a1708/A85558-A233113_A1708.html?cgid=120200,2020-04-05 19:43:23.786371,$650,USD,"40,42,44",us,"women,clothing,blouses-tops"
V Barocco Print Puffer Coat,print,This padded puffer coat is enriched with a statement high neckline and diagonal zip closure. The accent outerwear piece boasts the V Barocco,https://www.versace.com/us/en-us/women/clothing/jackets-coats/v-barocco-print-puffer-coat-a7900/A85817-A233315_A7900.html?cgid=120700,2020-04-05 19:43:23.965736,"$2,350",USD,"36,38,40,42,44",us,"women,clothing,jackets-coats"
Barocco Signature Print Bomber Jacket,print,"Silk bomber jacket in the Barocco Signature print, featuring an all-over motif of Gianni Versace's handwriting fused with gold tone Medusa,",https://www.versace.com/us/en-us/women/clothing/jackets-coats/barocco-signature-print-bomber-jacket-a7900/A85811-A232981_A7900.html?cgid=120700,2020-04-05 19:43:23.979813,"$2,725",USD,"38,40,46",us,"women,clothing,jackets-coats"
Medusa Button Puffer Jacket,"black,Orange",This warm puffer hooded jacket is enriched with gold-tone Medusa buttons along the front closure. The casual piece features a hidden house c,https://www.versace.com/us/en-us/women/clothing/jackets-coats/medusa-button-puffer-jacket-a1200/A85474-A223395_A1200.html?cgid=120700,2020-04-05 19:43:23.999372,"$1,975",USD,"36,38,40,42,44",us,"women,clothing,jackets-coats"
Graphic Neckline Bustier Top,black,The graphic neckline of this bustier top is inspired by the House's rich sartorial heritage. This viscose cady style can be worn alone for a,https://www.versace.com/us/en-us/women/clothing/blouses-tops/graphic-neckline-bustier-top-a1008/A86283-A213159_A1008.html?cgid=120200,2020-04-05 19:43:24.033314,"$1,125",USD,"38,40,42,44",us,"women,clothing,blouses-tops"
Heritage Neckline Bustier Top,black,"A runway style, this strapless bustier boasts a deep heritage neckline. This neoprene top is equally impressive when worn alone or layered o",https://www.versace.com/us/en-us/women/clothing/blouses-tops/heritage-neckline-bustier-top-a1008/A86281-A234369_A1008.html?cgid=120200,2020-04-05 19:43:24.046723,"$1,125",USD,"38,40,42,44",us,"women,clothing,blouses-tops"
Asymmetric Silk Crêpe De Chine Top,black,"Crafted from Crêpe De Chine, this asymmetric top is a statement piece in an array of day and evening looks. This elegant style is embellishe",https://www.versace.com/us/en-us/women/clothing/blouses-tops/asymmetric-silk-cr%C3%AApe-de-chine-top-a1008/A86631-A216477_A1008.html?cgid=120200,2020-04-05 19:43:24.060016,$850,USD,"38,40,42,44",us,"women,clothing,blouses-tops"
